4,0
11,0
0,0
0,0
14,0
4,0
0,0
0,0
0,0
11,0
11,0
0,0
0,0
0,0
11,0
11,0
11,0
0,0
14,0
0,0
6,0
11,0
11,0
11,0
11,0
14,0
0,0
0,0
6,0
6,0
15,1
0,0
0,0
16,1
6,0
7,1
4,0
11,0
6,0
6,0
0,0
0,0
14,0
6,0
6,0
0,0
0,0
14,0
14,0
6,0
6,0
10,1
14,0
14,0
0,0
6,0
0,0
14,0
0,0
0,0
6,0
11,0
11,0
0,0
0,0
0,0
11,0
0,0
0,0
12,1
14,0
11,0
2,1
0,0
0,0
3,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,0
0,0
0,0
0,0
0,0
4,0
0,0
0,0
0,0
0,0
4,0
0,0
0,0
0,0
0,0
0,0
5,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,1
0,0
13,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
16,1
6,0
0,0
0,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
14,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,1
0,0
0,1
0,0
0,0
9,1
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,0
0,0
0,0
0,0
0,0
4,0
0,0
0,0
0,0
0,0
0,0
0,1
10,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,1
0,0
0,0
0,0
0,0
0,0
4,0
4,0
0,0
0,0
0,0
4,0
3,1
0,0
0,0
0,0
6,0
4,0
3,1
0,0
0,0
6,0
6,0
0,0
0,0
14,1
0,0
4,0
4,0
6,1
0,0
0,0
14,0
0,0
0,0
0,0
0,0
0,0
4,0
4,0
14,0
6,0
4,0
4,0
4,0
14,0
6,0
6,0
0,0
0,0
0,0
0,0
14,0
8,1
4,0
0,0
1,1
14,0
4,0
4,0
0,0
0,0
12,1
4,0
4,0
0,0
0,0
4,0
4,0
0,0
0,0
0,0
4,0
4,0
4,0
0,0
0,0
0,0
0,0
4,0
14,0
0,0
0,0
4,0
4,0
0,0
12,1
0,0
0,0
4,0
4,0
0,0
0,0
4,0
4,0
14,1
0,0
0,0
4,0
4,0
4,1
0,0
0,0
4,0
4,0
4,0
0,0
4,0
4,0
10,1
0,0
0,0
0,0
4,0
4,0
0,0
0,0
0,0
4,0
4,0
4,0
0,0
1,1
4,0
4,0
0,0
0,0
0,0
4,0
4,0
4,0
0,0
0,0
0,0
0,0
4,0
4,0
4,0
11,1
0,0
0,0
4,0
0,0
0,0
0,0
0,0
4,0
0,0
0,0
0,0
0,0
4,0
4,0
4,0
4,0
0,0
0,0
0,0
11,1
1,1
0,0
4,0
0,0
0,0
0,0
0,0
4,0
4,0
0,0
0,0
0,0
4,0
4,0
0,0
0,0
0,0
15,1
0,0
0,0
0,0
0,0
0,0
4,0
4,0
0,0
0,0
0,0
0,0
6,0
4,0
0,0
0,0
0,0
14,0
14,0
0,0
0,0
0,0
6,0
14,0
4,0
0,0
13,1
0,0
14,0
14,0
4,0
14,0
14,0
0,0
4,0
14,0
14,0
6,0
6,0
4,0
14,0
14,0
14,0
0,0
0,0
3,1
14,0
14,0
4,0
0,0
0,0
14,0
6,0
14,0
0,0
16,1
6,0
14,1
14,0
0,0
0,0
14,0
4,1
10,1
4,0
4,0
0,0
14,0
14,0
8,1
4,1
0,0
6,0
14,0
14,0
14,0
0,0
6,0
