11,0
13,1
14,0
9,1
3,1
14,0
11,0
11,0
14,0
11,0
11,0
11,0
11,0
0,0
0,0
14,0
14,0
11,0
11,0
11,0
11,0
0,0
14,0
11,0
4,1
14,0
11,0
11,0
11,0
0,0
0,0
14,0
11,0
14,0
11,0
11,0
0,0
0,0
14,1
0,0
11,0
14,0
11,0
13,1
11,0
11,0
0,0
0,0
14,0
11,0
11,0
11,0
11,0
2,1
0,0
11,0
14,0
11,0
11,0
11,0
14,0
0,0
0,0
14,1
13,1
14,0
14,0
11,0
14,0
0,0
0,0
14,0
14,0
9,1
11,0
11,0
0,0
0,0
5,1
14,0
14,0
11,0
11,0
11,0
14,0
4,1
14,0
11,0
10,1
11,0
11,0
14,0
0,0
14,0
14,0
14,0
0,0
11,0
11,0
0,0
14,0
14,0
14,0
14,0
14,0
14,0
0,0
14,0
14,0
16,1
14,0
11,0
14,0
14,0
14,0
0,0
14,0
14,0
15,1
14,0
14,0
14,0
15,1
14,0
14,0
14,0
14,0
5,1
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
5,1
14,0
14,0
1,1
14,1
14,0
14,0
14,0
14,0
2,1
14,0
14,0
14,0
14,0
14,0
14,0
0,0
14,0
14,0
14,0
14,0
14,0
14,0
0,0
14,0
14,0
0,1
14,0
2,1
14,0
14,0
14,0
14,0
14,0
0,0
7,1
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
11,1
14,0
14,0
14,0
14,0
14,0
10,1
14,0
14,0
14,0
14,0
14,0
14,0
11,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
0,1
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
7,1
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
9,1
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
12,1
0,0
11,0
0,0
11,0
11,0
11,0
14,0
16,1
14,0
14,0
14,0
14,0
0,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
14,0
11,0
8,1
11,0
11,0
6,1
11,0
14,0
13,1
11,0
8,1
11,0
11,0
11,0
11,0
14,0
11,0
11,0
11,0
11,0
11,0
0,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
10,1
11,0
3,1
11,0
11,0
11,0
11,0
14,0
4,1
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
14,0
11,0
11,0
11,0
11,0
0,0
9,1
14,0
11,0
11,0
3,1
11,0
11,0
0,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,1
11,0
11,0
8,1
11,0
3,1
11,0
11,0
11,0
14,0
11,0
11,0
11,0
11,0
11,0
11,0
14,0
11,0
11,0
11,0
14,0
11,0
0,0
11,0
14,0
1,1
0,0
14,0
14,0
0,0
11,0
14,0
11,0
0,0
11,0
14,0
14,0
11,0
0,0
11,0
11,0
0,0
11,0
14,0
11,0
11,0
14,0
14,0
0,0
11,0
11,0
11,0
11,0
7,1
14,0
11,0
11,0
11,0
11,0
11,0
11,0
15,1
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
14,0
14,0
15,1
8,1
11,0
11,0
11,0
0,0
11,0
11,0
11,0
14,0
14,0
14,0
11,0
11,0
1,1
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
